_messagetimems,_messagetime,_,duration,ip,revProxyPath,_raw
1.68E+12,11/04/2023 22:37:36.000 +0530,",""time"":""2023-04-11T17:07:36Z""}}",41.244928ms,10.130.162.234,/api/streamer/hangup?peerid=UvsKORB&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/hangup?peerid=UvsKORB&options= and ip 10.130.162.234 is 41.244928ms"",""time"":""2023-04-11T17:07:36Z""}}"
1.68E+12,11/04/2023 22:36:54.000 +0530,",""time"":""2023-04-11T17:06:54Z""}}",12.607572ms,10.130.162.234,/v1.0/api/system/dir,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /v1.0/api/system/dir and ip 10.130.162.234 is 12.607572ms"",""time"":""2023-04-11T17:06:54Z""}}"
1.68E+12,11/04/2023 22:35:38.000 +0530,",""time"":""2023-04-11T17:05:38Z""}}",14.534274ms,10.130.162.234,/v1.0/api/system/dir,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /v1.0/api/system/dir and ip 10.130.162.234 is 14.534274ms"",""time"":""2023-04-11T17:05:38Z""}}"
1.68E+12,11/04/2023 22:34:22.000 +0530,",""time"":""2023-04-11T17:04:22Z""}}",15.631475ms,10.130.162.234,/v1.0/api/system/dir,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /v1.0/api/system/dir and ip 10.130.162.234 is 15.631475ms"",""time"":""2023-04-11T17:04:22Z""}}"
1.68E+12,11/04/2023 22:32:49.000 +0530,",""time"":""2023-04-11T17:02:49Z""}}",5.438152ms,10.130.162.234,/api/streamer/addIceCandidate?peerid=UvsKORB&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=UvsKORB&options= and ip 10.130.162.234 is 5.438152ms"",""time"":""2023-04-11T17:02:49Z""}}"
1.68E+12,11/04/2023 22:32:49.000 +0530,",""time"":""2023-04-11T17:02:49Z""}}",5.088747ms,10.130.162.234,/api/streamer/addIceCandidate?peerid=UvsKORB&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=UvsKORB&options= and ip 10.130.162.234 is 5.088747ms"",""time"":""2023-04-11T17:02:49Z""}}"
1.68E+12,11/04/2023 22:32:49.000 +0530,",""time"":""2023-04-11T17:02:49Z""}}",5.233046ms,10.130.162.234,/api/streamer/addIceCandidate?peerid=UvsKORB&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=UvsKORB&options= and ip 10.130.162.234 is 5.233046ms"",""time"":""2023-04-11T17:02:49Z""}}"
1.68E+12,11/04/2023 22:32:49.000 +0530,",""time"":""2023-04-11T17:02:49Z""}}",9.410905ms,10.130.162.234,/api/streamer/addIceCandidate?peerid=UvsKORB&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=UvsKORB&options= and ip 10.130.162.234 is 9.410905ms"",""time"":""2023-04-11T17:02:49Z""}}"
1.68E+12,11/04/2023 22:32:49.000 +0530,",""time"":""2023-04-11T17:02:49Z""}}",6.240589ms,10.130.162.234,/api/streamer/addIceCandidate?peerid=UvsKORB&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=UvsKORB&options= and ip 10.130.162.234 is 6.240589ms"",""time"":""2023-04-11T17:02:49Z""}}"
1.68E+12,11/04/2023 22:32:49.000 +0530,",""time"":""2023-04-11T17:02:49Z""}}",5.915481ms,10.130.162.234,/api/streamer/addIceCandidate?peerid=UvsKORB&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=UvsKORB&options= and ip 10.130.162.234 is 5.915481ms"",""time"":""2023-04-11T17:02:49Z""}}"
1.68E+12,11/04/2023 22:32:49.000 +0530,",""time"":""2023-04-11T17:02:49Z""}}",98.527777ms,10.130.162.234,/api/streamer/addIceCandidate?peerid=UvsKORB&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=UvsKORB&options= and ip 10.130.162.234 is 98.527777ms"",""time"":""2023-04-11T17:02:49Z""}}"
1.68E+12,11/04/2023 22:32:49.000 +0530,",""time"":""2023-04-11T17:02:49Z""}}",16.808908ms,10.130.162.234,/api/streamer/addIceCandidate?peerid=UvsKORB&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=UvsKORB&options= and ip 10.130.162.234 is 16.808908ms"",""time"":""2023-04-11T17:02:49Z""}}"
1.68E+12,11/04/2023 22:32:49.000 +0530,",""time"":""2023-04-11T17:02:49Z""}}",13.093924ms,10.130.162.234,/api/streamer/addIceCandidate?peerid=UvsKORB&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=UvsKORB&options= and ip 10.130.162.234 is 13.093924ms"",""time"":""2023-04-11T17:02:49Z""}}"
1.68E+12,11/04/2023 22:32:49.000 +0530,",""time"":""2023-04-11T17:02:49Z""}}",10.410546ms,10.130.162.234,/api/streamer/addIceCandidate?peerid=UvsKORB&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=UvsKORB&options= and ip 10.130.162.234 is 10.410546ms"",""time"":""2023-04-11T17:02:49Z""}}"
1.68E+12,11/04/2023 22:32:49.000 +0530,",""time"":""2023-04-11T17:02:49Z""}}",6.824904ms,10.130.162.234,/api/streamer/addIceCandidate?peerid=UvsKORB&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=UvsKORB&options= and ip 10.130.162.234 is 6.824904ms"",""time"":""2023-04-11T17:02:49Z""}}"
1.68E+12,11/04/2023 22:32:49.000 +0530,",""time"":""2023-04-11T17:02:49Z""}}",10.32594ms,10.130.162.234,/api/streamer/addIceCandidate?peerid=UvsKORB&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=UvsKORB&options= and ip 10.130.162.234 is 10.32594ms"",""time"":""2023-04-11T17:02:49Z""}}"
1.68E+12,11/04/2023 22:32:49.000 +0530,",""time"":""2023-04-11T17:02:49Z""}}",77.98515ms,10.130.162.234,/api/streamer/addIceCandidate?peerid=UvsKORB&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=UvsKORB&options= and ip 10.130.162.234 is 77.98515ms"",""time"":""2023-04-11T17:02:49Z""}}"
1.68E+12,11/04/2023 22:32:49.000 +0530,",""time"":""2023-04-11T17:02:49Z""}}",79.13195ms,10.130.162.234,/api/streamer/addIceCandidate?peerid=UvsKORB&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=UvsKORB&options= and ip 10.130.162.234 is 79.13195ms"",""time"":""2023-04-11T17:02:49Z""}}"
1.68E+12,11/04/2023 22:32:49.000 +0530,",""time"":""2023-04-11T17:02:49Z""}}",79.015348ms,10.130.162.234,/api/streamer/addIceCandidate?peerid=UvsKORB&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=UvsKORB&options= and ip 10.130.162.234 is 79.015348ms"",""time"":""2023-04-11T17:02:49Z""}}"
